Product_Name,Product_Type,Weather_Preference,States_Preference,Region_Preference,Soil_Moisture_%,Temperature_C,Humidity_%,Pest_Risk_%,Irrigation_Needed,Fertilizer_Required,Pest_Name,Pesticide_name 
Colocasia,Tuber Crop,Warm & Moist,"WB, Odisha, Assam",Hills/Plains,50,27.5,80,35,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Malathion
Mustard,Oilseed Crop,Cool & Dry,"UP, Punjab, Rajasthan",Plains,30,20,55,25,Yes (2–3 cycles),"Urea, DAP, MOP",Mites,Mancozeb
Niger,Oilseed Crop,Dry & Sunny,"MP, Odisha, Chhattisgarh",Plains,25,25,50,25,Yes (Light),"FYM, Potash, Zinc",Cutworm,Spinosad
Plum,Fruit Tree,Cold & Temperate,"HP, J&K",Semi-arid,25,15,60,25,Yes (Drip),"FYM, Potash, Boron",Stem Borer,Imidacloprid
Cauliflower,Flower Veg,Cool & Moist,"WB, Punjab, Karnataka",Hills,35,17.5,70,30,Yes (Frequent),"NPK, FYM",Whitefly,Spinosad
Muskmelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Hills/Plains,25,30,50,30,Yes (Seasonal),"NPK, FYM",Cutworm,Carbendazim
Sunflower,Oilseed Crop,Warm & Dry,"Karnataka, MP, MH",Plains,30,25,55,25,Yes (Seasonal),"Urea, DAP, MOP",Leaf Miner,Fipronil
Fenugreek,Spice/Herb,Cool & Dry,"Rajasthan, MP, Gujarat",Plains,25,20,55,25,Yes (Light),"FYM, Potash, Zinc",Thrips,Lambda-cyhalothrin
Cucumber,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Leaf Miner,Malathion
Green Peas,Pulse Crop,Cool & Moist,"UP, Punjab, WB",Plains,35,17.5,65,25,Yes (Seasonal),"Urea, DAP, FYM",Thrips,Carbendazim
French Bean,Pulse Crop,Warm & Moist,"Karnataka, MH, TN",Plains,35,24,65,30,Yes (Frequent),"NPK, FYM",Mites,Imidacloprid
Green Cardamom,Spice Crop,Humid & Shaded,"Kerala, Karnataka",Hills/Plains,50,25,80,35,Yes (Rainfed + Drip),"FYM, Potash, Zinc",Cutworm,Chlorpyrifos
Strawberry,Fruit Crop,Cool & Moist,"HP, J&K, Uttarakhand",Hills,35,17.5,70,30,Yes (Drip),"FYM, Potash, Boron",Mealybug,Imidacloprid
Groundnut,Oilseed Crop,Warm & Dry,"Gujarat, TN, MH",Semi-arid,30,27.5,55,25,Yes (Seasonal),"Urea, DAP, MOP",Whitefly,Cypermethrin
Coriander Leaf,Leafy Herb,Cool & Dry,"Rajasthan, MP, Gujarat",Plains,25,20,55,25,Yes (Light),"FYM, Potash, Zinc",Mites,Imidacloprid
Amaranthus,Leafy Veg,Warm & Moist,"WB, TN, Kerala",Plains,35,27.5,70,30,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Pumpkin,Vegetable,Warm & Dry,"UP, Bihar, WB",Plains,30,27.5,55,30,Yes (Seasonal),"NPK, FYM",Aphids,Fipronil
Ber,Fruit Tree,Dry & Sunny,"Rajasthan, Gujarat",Arid/Semi-arid,25,30,50,25,Yes (Drip),"FYM, Potash, Zinc",Aphids,Malathion
Radish,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,35,17.5,70,25,Yes (Frequent),"Urea, DAP, MOP",Cutworm,Cypermethrin
Green Chili,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Mites,Malathion
Pineapple,Fruit Crop,Warm & Humid,"Kerala, Assam, WB",Coastal/Hills,50,27.5,80,30,Yes (Drip),"FYM, Potash, Zinc",Thrips,Cypermethrin
Moong,Pulse Crop,Warm & Dry,"Rajasthan, MP, UP",Plains,25,30,50,25,Yes (Seasonal),"Urea, DAP, FYM",Aphids,Spinosad
Ginger,Spice Root,Warm & Moist,"Kerala, Assam, Odisha",Hills/Plains,50,27.5,80,35,Yes (Frequent),"FYM, Potash, Zinc",Leaf Miner,Cypermethrin
Brinjal,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Thrips,Imidacloprid
Mosambi,Fruit Tree,Warm & Dry,"Maharashtra, UP",Tropical/Subtropical,30,27.5,60,25,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Carbendazim
Dry Red Chili,Spice Crop,Warm & Dry,"AP, MP, Rajasthan",Semi-arid,30,30,50,35,Yes (Seasonal),"FYM, Potash, Zinc",Aphids,Mancozeb
Spinach,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Plains,35,17.5,70,25,Yes (Frequent),"NPK, FYM",Fruit Borer,Fipronil
Sweet Potato,Tuber Crop,Warm & Moist,"Odisha, WB, Assam",Plains,35,27.5,70,30,Yes (Seasonal),"FYM, Potash, Zinc",Stem Borer,Lambda-cyhalothrin
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Turmeric,Spice Crop,Warm & Moist,"AP, TN, Odisha",Hills/Plains,50,27.5,80,35,Yes (Frequent),"FYM, Potash, Zinc",Stem Borer,Cypermethrin
Kinnow,Fruit Tree,Cool & Dry,"Punjab, HP, Rajasthan",Subtropical,30,20,55,25,Yes (Drip),"FYM, Potash, Zinc",Leaf Miner,Mancozeb
Mulberry,Fruit Tree,Warm & Humid,"Karnataka, WB, TN",Tropical,40,27.5,70,30,Yes (Drip),"FYM, Potash, Zinc",Whitefly,Lambda-cyhalothrin
Turnip,Root Crop,Cool & Moist,"Punjab, WB, Karnataka",Plains,35,17.5,70,25,Yes (Frequent),"Urea, DAP, MOP",Mealybug,Fipronil
Capsicum,Vegetable,Cool & Moist,"HP, Karnataka, Punjab",Hills/Plains,35,20,70,30,Yes (Frequent),"NPK, FYM",Leaf Miner,Lambda-cyhalothrin
Arhar,Pulse Crop,Warm & Dry,"UP, MP, Maharashtra",Plains,30,30,50,25,Yes (Seasonal),"Urea, DAP, FYM",Armyworm,Lambda-cyhalothrin
Date Palm,Fruit Tree,Hot & Dry,"Rajasthan, Gujarat",Arid/Coastal,20,35,40,25,Yes (Drip),"FYM, Potash, Zinc",Armyworm,Fipronil
Litchi,Fruit Tree,Warm & Humid,"Bihar, WB, Assam",Subtropical Hills,50,27.5,80,30,Yes (Drip),"FYM, Potash, Boron",Armyworm,Thiamethoxam
Yam,Tuber Crop,Warm & Moist,"Kerala, WB, Odisha",Plains,35,27.5,70,30,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Spinosad
Jackfruit,Fruit Tree,Warm & Humid,"Kerala, WB, Assam",Tropical,50,27.5,80,30,Yes (Drip),"FYM, Potash, Zinc",Fruit Borer,Fipronil
Urad,Pulse Crop,Warm & Dry,"MP, UP, Maharashtra",Plains,25,30,50,25,Yes (Seasonal),"Urea, DAP, FYM",Mites,Malathion
Orange,Fruit Tree,Warm & Dry,"Maharashtra, Punjab",Subtropical Hills,30,27.5,60,25,Yes (Drip),"FYM, Potash, Zinc",Cutworm,Mancozeb
Masoor,Pulse Crop,Cool & Dry,"UP, MP, Bihar",Plains,30,20,55,25,Yes (Seasonal),"Urea, DAP, FYM",Cutworm,Cypermethrin
Papaya,Fruit Crop,Warm & Humid,"WB, TN, Kerala",Tropical,50,27.5,80,30,Yes (Drip),"FYM, Potash, Boron",Whitefly,Carbendazim
Sesame,Oilseed Crop,Warm & Dry,"Gujarat, Rajasthan",Semi-arid,25,30,50,25,Yes (Light),"FYM, Potash, Zinc",Cutworm,Cypermethrin
Phalsa,Fruit Shrub,Warm & Dry,"Rajasthan, Gujarat",Semi-arid,25,30,50,25,Yes (Drip),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Guava,Fruit Tree,Warm & Humid,"UP, MH, Bihar",Tropical/Subtropical,40,25.5,70,30,Yes (Drip),"FYM, Potash, Zinc",Aphids,Carbendazim
Beetroot,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,35,17.5,70,25,Yes (Frequent),"Urea, DAP, MOP",Fruit Borer,Thiamethoxam
Okra,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Armyworm,Imidacloprid
Chana,Pulse Crop,Cool & Dry,"MP, Rajasthan, UP",Plains,30,20,55,25,Yes (Seasonal),"Urea, DAP, FYM",Armyworm,Lambda-cyhalothrin
Sapota,Fruit Tree,Warm & Humid,"MH, Karnataka, TN",Tropical,40,27.5,70,30,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Chlorpyrifos
Custard Apple,Fruit Tree,Warm & Dry,"Maharashtra, Gujarat",Semi-arid,30,27.5,60,25,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Radish,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.2,17.5,69.6,25.5,Yes (Frequent),"Urea, DAP, MOP",Cutworm,Cypermethrin
Cherry,Fruit Tree,Cold & Temperate,"HP, J&K",Hills,24.2,13.7,59.4,25.3,Yes (Drip),"FYM, Potash, Boron",Thrips,Fipronil
Jackfruit,Fruit Tree,Warm & Humid,"Kerala, WB, Assam",Tropical,50.6,27.3,80.4,30.8,Yes (Drip),"FYM, Potash, Zinc",Fruit Borer,Fipronil
Sweet Potato,Tuber Crop,Warm & Moist,"Odisha, WB, Assam",Plains,35.7,27.8,70.2,29.4,Yes (Seasonal),"FYM, Potash, Zinc",Stem Borer,Lambda-cyhalothrin
Bitter Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,38.5,27.5,68.8,34.9,Yes (Frequent),"NPK, FYM",Stem Borer,Malathion
Sapota,Fruit Tree,Warm & Humid,"MH, Karnataka, TN",Tropical,39,27.6,71,29.8,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Chlorpyrifos
Masoor,Pulse Crop,Cool & Dry,"UP, MP, Bihar",Plains,30.1,20.3,54.9,24.2,Yes (Seasonal),"Urea, DAP, FYM",Cutworm,Cypermethrin
Masoor,Pulse Crop,Cool & Dry,"UP, MP, Bihar",Plains,29.8,19.8,54.1,25.4,Yes (Seasonal),"Urea, DAP, FYM",Cutworm,Cypermethrin
Apricot,Fruit Tree,Cold & Temperate,"HP, J&K",Plains,25,15.3,61,24.9,Yes (Drip),"FYM, Potash, Boron",Armyworm,Spinosad
Mango,Fruit Tree,Warm & Dry Summer,"Maharashtra, UP",Tropical/Subtropical,19.3,27.2,60.5,25.3,Moderate (Flowering),"FYM, Potash, Zinc",Fruit Borer,Spinosad
Coconut,Plantation,Warm & Humid,"Kerala, TN, Goa",Plains,70.7,28,83.9,26,Yes (Rainfed + Drip),"FYM, Potash, Magnesium",Leaf Miner,Cypermethrin
Green Chili,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40.6,28.1,71.5,34.9,Yes (Frequent),"NPK, FYM",Mites,Malathion
Rice,Cereal Crop,Warm & Humid (Kharif),"WB, TN, AP, Bihar",Plain/Delta,50.1,29.8,80.6,39.8,Yes (Flood/Irrigation),"Urea, SSP, MOP",Mites,Mancozeb
Lettuce,Leafy Veg,Cool & Moist,"WB, Karnataka, Punjab",Hills/Plains,35.9,16.8,70,25,Yes (Frequent),"NPK, FYM",Leaf Miner,Fipronil
Cauliflower,Flower Veg,Cool & Moist,"WB, Punjab, Karnataka",Hills,35.4,17.1,71.3,30.4,Yes (Frequent),"NPK, FYM",Whitefly,Spinosad
Rice,Cereal Crop,Warm & Humid (Kharif),"WB, TN, AP, Bihar",Plain/Delta,49.3,29.6,80.1,39.8,Yes (Flood/Irrigation),"Urea, SSP, MOP",Mites,Mancozeb
Kinnow,Fruit Tree,Cool & Dry,"Punjab, HP, Rajasthan",Subtropical,30.3,20,55,24.7,Yes (Drip),"FYM, Potash, Zinc",Leaf Miner,Mancozeb
Spinach,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Plains,34.2,17.4,69.4,25.4,Yes (Frequent),"NPK, FYM",Fruit Borer,Fipronil
Bitter Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40.7,27.4,70.5,35.2,Yes (Frequent),"NPK, FYM",Stem Borer,Malathion
Broccoli,Leafy Veg,Cool & Moist,"Punjab, WB, Karnataka",Plains,35,17.7,70.4,29.2,Yes (Frequent),"NPK, FYM",Aphids,Imidacloprid
Papaya,Fruit Crop,Warm & Humid,"WB, TN, Kerala",Tropical,49.9,27.6,80,29.5,Yes (Drip),"FYM, Potash, Boron",Whitefly,Carbendazim
Mosambi,Fruit Tree,Warm & Dry,"Maharashtra, UP",Tropical/Subtropical,29.5,27.6,59.3,25.6,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Carbendazim
Coconut,Plantation,Warm & Humid,"Kerala, TN, Goa",Plains,71,28.7,85.1,25.2,Yes (Rainfed + Drip),"FYM, Potash, Magnesium",Leaf Miner,Cypermethrin
Amaranthus,Leafy Veg,Warm & Moist,"WB, TN, Kerala",Plains,34.9,27.7,69.9,29.7,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Dry Red Chili,Spice Crop,Warm & Dry,"AP, MP, Rajasthan",Semi-arid,29.7,29.2,48.9,34.9,Yes (Seasonal),"FYM, Potash, Zinc",Aphids,Mancozeb
Cucumber,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,39.7,27.4,68.8,35,Yes (Frequent),"NPK, FYM",Leaf Miner,Malathion
Spinach,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.4,16.6,70.5,25.3,Yes (Frequent),"NPK, FYM",Fruit Borer,Fipronil
Beetroot,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.3,17.5,67.8,24.5,Yes (Frequent),"Urea, DAP, MOP",Fruit Borer,Thiamethoxam
Cherry,Fruit Tree,Cold & Temperate,"HP, J&K",Hills,25.3,14,60.2,24.7,Yes (Drip),"FYM, Potash, Boron",Thrips,Fipronil
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40.3,27.9,69.6,35.1,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,41.7,28,71.1,35,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Groundnut,Oilseed Crop,Warm & Dry,"Gujarat, TN, MH",Semi-arid,29.7,27.6,54.6,25.2,Yes (Seasonal),"Urea, DAP, MOP",Whitefly,Cypermethrin
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,39.6,27.3,70.6,34.5,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Ber,Fruit Tree,Dry & Sunny,"Rajasthan, Gujarat",Arid/Semi-arid,24.4,30.2,49.7,25.1,Yes (Drip),"FYM, Potash, Zinc",Aphids,Malathion
Moong,Pulse Crop,Warm & Dry,"Rajasthan, MP, UP",Plains,25.5,29.8,50.1,25.4,Yes (Seasonal),"Urea, DAP, FYM",Aphids,Spinosad
Kinnow,Fruit Tree,Cool & Dry,"Punjab, HP, Rajasthan",Subtropical,30.9,20,55.6,25.2,Yes (Drip),"FYM, Potash, Zinc",Leaf Miner,Mancozeb
Mango,Fruit Tree,Warm & Dry Summer,"Maharashtra, UP",Tropical/Subtropical,19.9,27.4,59.6,25.1,Moderate (Flowering),"FYM, Potash, Zinc",Fruit Borer,Spinosad
Ber,Fruit Tree,Dry & Sunny,"Rajasthan, Gujarat",Arid/Semi-arid,24.3,29.8,50.8,25,Yes (Drip),"FYM, Potash, Zinc",Aphids,Malathion
Grapes,Fruit Vine,Dry & Sunny,"MH, Karnataka",Semi-arid,24.4,27.8,49.2,24.7,Yes (Drip),"Potash, FYM, Zinc",Fruit Borer,Carbendazim
Bitter Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40.5,27.8,70.2,35,Yes (Frequent),"NPK, FYM",Stem Borer,Malathion
Urad,Pulse Crop,Warm & Dry,"MP, UP, Maharashtra",Plains,25.6,29.6,50.8,25.5,Yes (Seasonal),"Urea, DAP, FYM",Mites,Malathion
Muskmelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Hills/Plains,25.4,30.4,50.6,30,Yes (Seasonal),"NPK, FYM",Cutworm,Carbendazim
Carrot,Root Crop,Cool & Moist,"Punjab, WB, Karnataka",Plains/Hills,34.5,17.8,71.6,24.6,Yes (Frequent),"Urea, DAP, MOP",Mealybug,Imidacloprid
Apple,Fruit Tree,Cold & Temperate,"HP, J&K, Uttarakhand",Hills,25.2,15,49.4,14.8,Yes (Drip),"FYM, Calcium, Boron",Cutworm,Malathion
Spinach,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.1,17.2,68.8,25.1,Yes (Frequent),"NPK, FYM",Fruit Borer,Fipronil
Garlic,Bulb Crop,Cool & Dry,"MP, Gujarat, Punjab",Plains,30.2,15.7,54.2,24.8,Yes (2–3 cycles),"Urea, DAP, MOP",Leaf Miner,Fipronil
Black Pepper,Spice Vine,Humid & Shaded,"Kerala, Karnataka",Hills (Western Ghats),50.7,24.8,80.6,35.2,Yes (Rainfed + Drip),"FYM, Potash, Zinc",Cutworm,Spinosad
Green Chili,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40.2,27.7,70.4,35.2,Yes (Frequent),"NPK, FYM",Mites,Malathion
Rice,Cereal Crop,Warm & Humid (Kharif),"WB, TN, AP, Bihar",Plain/Delta,50.5,29.6,80.1,40.4,Yes (Flood/Irrigation),"Urea, SSP, MOP",Mites,Mancozeb
Custard Apple,Fruit Tree,Warm & Dry,"Maharashtra, Gujarat",Semi-arid,30.1,27.7,59,25.6,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Spinach,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.2,17,70.7,25.4,Yes (Frequent),"NPK, FYM",Fruit Borer,Fipronil
Yam,Tuber Crop,Warm & Moist,"Kerala, WB, Odisha",Plains,35.5,27.4,69,29.6,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Spinosad
French Bean,Pulse Crop,Warm & Moist,"Karnataka, MH, TN",Plains,33.9,24,66,29.6,Yes (Frequent),"NPK, FYM",Mites,Imidacloprid
Potato,Tuber Crop,Cool & Moist,"UP, WB, Punjab",Hills/Plains,34.7,18.5,67.4,25,Yes (2–3 cycles),"Urea, DAP, MOP",Thrips,Thiamethoxam
Groundnut,Oilseed Crop,Warm & Dry,"Gujarat, TN, MH",Semi-arid,29.6,26.9,55.3,24.8,Yes (Seasonal),"Urea, DAP, MOP",Whitefly,Cypermethrin
Mustard,Oilseed Crop,Cool & Dry,"UP, Punjab, Rajasthan",Plains,29.5,20.6,55.5,24.5,Yes (2–3 cycles),"Urea, DAP, MOP",Mites,Mancozeb
Phalsa,Fruit Shrub,Warm & Dry,"Rajasthan, Gujarat",Semi-arid,24.8,30.1,49.6,24.8,Yes (Drip),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Okra,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,41.2,27.7,68.5,34.8,Yes (Frequent),"NPK, FYM",Armyworm,Imidacloprid
Niger,Oilseed Crop,Dry & Sunny,"MP, Odisha, Chhattisgarh",Plains,24.3,25,49.5,24.7,Yes (Light),"FYM, Potash, Zinc",Cutworm,Spinosad
Pumpkin,Vegetable,Warm & Dry,"UP, Bihar, WB",Plains,30.8,27.7,54.1,29.9,Yes (Seasonal),"NPK, FYM",Aphids,Fipronil
Apple,Fruit Tree,Cold & Temperate,"HP, J&K, Uttarakhand",Hills,23.7,14.9,48.8,15.5,Yes (Drip),"FYM, Calcium, Boron",Cutworm,Malathion
Rice,Cereal Crop,Warm & Humid (Kharif),"WB, TN, AP, Bihar",Plain/Delta,49.7,30.6,81.5,40.1,Yes (Flood/Irrigation),"Urea, SSP, MOP",Mites,Mancozeb
Tomato,Vegetable,Warm & Semi-Humid,"Karnataka, AP, MP",Plains/Hills,40.1,23.8,70.2,51,Yes (Frequent),"NPK, Calcium, Boron",Armyworm,Lambda-cyhalothrin
Pineapple,Fruit Crop,Warm & Humid,"Kerala, Assam, WB",Coastal/Hills,50.5,28,80.3,30.1,Yes (Drip),"FYM, Potash, Zinc",Thrips,Cypermethrin
Apple,Fruit Tree,Cold & Temperate,"HP, J&K, Uttarakhand",Hills,25.6,14.7,49.7,14.9,Yes (Drip),"FYM, Calcium, Boron",Cutworm,Malathion
Pineapple,Fruit Crop,Warm & Humid,"Kerala, Assam, WB",Coastal/Hills,50.6,27.5,79.9,30,Yes (Drip),"FYM, Potash, Zinc",Thrips,Cypermethrin
Turmeric,Spice Crop,Warm & Moist,"AP, TN, Odisha",Hills/Plains,49.7,27.1,80.8,35.1,Yes (Frequent),"FYM, Potash, Zinc",Stem Borer,Cypermethrin
Carrot,Root Crop,Cool & Moist,"Punjab, WB, Karnataka",Plains/Hills,34.6,17.7,70,25.2,Yes (Frequent),"Urea, DAP, MOP",Mealybug,Imidacloprid
French Bean,Pulse Crop,Warm & Moist,"Karnataka, MH, TN",Plains,35.7,24.6,65.4,30.8,Yes (Frequent),"NPK, FYM",Mites,Imidacloprid
Colocasia,Tuber Crop,Warm & Moist,"WB, Odisha, Assam",Hills/Plains,49.8,27.5,79.8,34.7,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Malathion
Orange,Fruit Tree,Warm & Dry,"Maharashtra, Punjab",Subtropical Hills,29,27.4,59.7,25.3,Yes (Drip),"FYM, Potash, Zinc",Cutworm,Mancozeb
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,39.1,27.1,68.8,35.1,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
